project_path,project_id
gitlab-com/gl-security/engineering-and-research/automation-team/monitoring-poc,17455616
gitlab-org/secure/vulnerability-research/pocs/ci-templates,20516845
gitlab-com/gl-security/terraform/terraform-modules,20647806
gitlab-com/gl-security/security-assurance/team-goals,18473300
gitlab-org/security-products/benchmark-suite/webgoat-baselined,19315261
gitlab-org/gitlab-figma-plugin,18860383
gitlab-org/security-products/gemnasium-db-toolbox,12724255
gitlab-com/customer-success/sa-triage-boards/legal-triage,19215653
gitlab-com/security-tools/gam,6409389
gitlab-org/security-products/bundle,17894202
gitlab-com/temporary-service-providers/lifecycle,19054296
gitlab-com/security-tools/report-gsuite-group-members,11177761
gitlab-com/gl-security/security-operations/gl-redteam/cfClearance,21514220
gitlab-org/secure/vulnerability-research/kb/presentations/advisory-generation-workflow,20839085
gitlab-com/security-tools/front-end-security,8313070
gitlab-com/gl-security/appsec/h1-stats,13428570
gitlab-com/gl-security/security-operations/gl-redteam/gitrob,17763431
gitlab-com/gl-security/engineering-and-research/automation-team/snippet-spam-ml,15078033
gitlab-com/gl-security/engineering-and-research/automation-team/scaffold-project,21819008
gitlab-com/gl-security/security-assurance/field-security-team/field-security-labs/automate-reporting-fs,19948661
gitlab-com/gl-security/engineering-and-research/clouddns-sinkhole-poc,19936575
gitlab-org/gitlab-vscode-extension,5261717
gitlab-org/secure/vulnerability-research/advisories/cves-dev-public,18719477
gitlab-org/gitlab-insights,4921652
gitlab-org/release/docs,5191294
gitlab-org/secure/onboarding,10304488
gitlab-org/threat-management/onboarding,15333630
gitlab-com/dev-resources,2227454
gitlab-com/team-member-epics/employment,5097604
gitlab-com/team-member-epics/access-requests,8684637
gitlab-com/people-group/Training,5195018
gitlab-com/people-group/hiring-processes,4583636
gitlab-com/people-group/peopleops-eng/compensation-calculator,21924975
gitlab-com/people-group/employment-templates,17330724
gitlab-com/business-ops/team-member-enablement/runbooks,10649895
gitlab-com/customer-success/sa-triage-boards/us-west-enterprise-triage,11830706
gitlab-com/customer-success/sa-triage-boards/emea-triage,11435628
gitlab-com/customer-success/sa-triage-boards/emea-commercial-triage,14071012
gitlab-com/customer-success/sa-triage-boards/us-east-enterprise-triage,11830702
gitlab-com/customer-success/sa-triage-boards/federal-triage,13925914
gitlab-com/Finance-Division/procurement-team/procurement,19727479
gitlab-com/Finance-Division/finance,1219016
gitlab-com/ceo-shadow/onboarding,13883633
